oh_scav_cap,atp_with_dsup,atp_no_dsup,atp_delta,dsup_essential,parameter,swept_value,level
20,117.48,117.47,0.0,no,etc_leak_nadh,0.01,baseline
50,117.48,117.47,0.0,no,etc_leak_nadh,0.01,baseline
100,117.48,117.47,0.0,no,etc_leak_nadh,0.01,baseline
0,116.45,112.04,4.41,YES,etc_leak_nadh,0.015,high (+50%)
1,117.37,112.96,4.41,YES,etc_leak_nadh,0.015,high (+50%)
2,118.29,113.88,4.41,YES,etc_leak_nadh,0.015,high (+50%)
3,118.34,114.79,3.55,YES,etc_leak_nadh,0.015,high (+50%)
5,118.34,116.63,1.71,YES,etc_leak_nadh,0.015,high (+50%)
7,118.34,118.33,0.01,no,etc_leak_nadh,0.015,high (+50%)
10,118.34,118.33,0.01,no,etc_leak_nadh,0.015,high (+50%)
15,118.34,118.33,0.01,no,etc_leak_nadh,0.015,high (+50%)
20,118.34,118.33,0.01,no,etc_leak_nadh,0.015,high (+50%)
50,118.34,118.33,0.01,no,etc_leak_nadh,0.015,high (+50%)
100,118.34,118.33,0.01,no,etc_leak_nadh,0.015,high (+50%)
0,119.2,111.39,7.81,YES,melanin_coeff,0.01,low (-50%)
1,120.83,113.02,7.81,YES,melanin_coeff,0.01,low (-50%)
2,122.45,114.65,7.81,YES,melanin_coeff,0.01,low (-50%)
3,122.55,116.27,6.27,YES,melanin_coeff,0.01,low (-50%)
5,122.55,119.52,3.02,YES,melanin_coeff,0.01,low (-50%)
7,122.55,122.54,0.0,no,melanin_coeff,0.01,low (-50%)
10,122.55,122.54,0.0,no,melanin_coeff,0.01,low (-50%)
15,122.55,122.54,0.0,no,melanin_coeff,0.01,low (-50%)
20,122.55,122.54,0.0,no,melanin_coeff,0.01,low (-50%)
50,122.55,122.54,0.0,no,melanin_coeff,0.01,low (-50%)
100,122.55,122.54,0.0,no,melanin_coeff,0.01,low (-50%)
0,115.65,111.39,4.26,YES,melanin_coeff,0.02,baseline
1,116.54,112.28,4.26,YES,melanin_coeff,0.02,baseline
2,117.43,113.17,4.26,YES,melanin_coeff,0.02,baseline
3,117.48,114.05,3.42,YES,melanin_coeff,0.02,baseline
5,117.48,115.83,1.65,YES,melanin_coeff,0.02,baseline
7,117.48,117.47,0.0,no,melanin_coeff,0.02,baseline
10,117.48,117.47,0.0,no,melanin_coeff,0.02,baseline
15,117.48,117.47,0.0,no,melanin_coeff,0.02,baseline
20,117.48,117.47,0.0,no,melanin_coeff,0.02,baseline
50,117.48,117.47,0.0,no,melanin_coeff,0.02,baseline
100,117.48,117.47,0.0,no,melanin_coeff,0.02,baseline
0,112.1,111.39,0.71,no,melanin_coeff,0.03,high (+50%)
1,112.25,111.54,0.71,no,melanin_coeff,0.03,high (+50%)
2,112.4,111.69,0.71,no,melanin_coeff,0.03,high (+50%)
3,112.41,111.84,0.57,no,melanin_coeff,0.03,high (+50%)
5,112.41,112.13,0.28,no,melanin_coeff,0.03,high (+50%)
7,112.41,112.4,0.0,no,melanin_coeff,0.03,high (+50%)
10,112.41,112.4,0.0,no,melanin_coeff,0.03,high (+50%)
15,112.41,112.4,0.0,no,melanin_coeff,0.03,high (+50%)
20,112.41,112.4,0.0,no,melanin_coeff,0.03,high (+50%)
50,112.41,112.4,0.0,no,melanin_coeff,0.03,high (+50%)
100,112.41,112.4,0.0,no,melanin_coeff,0.03,high (+50%)
0,113.52,111.39,2.13,YES,hashimoto_eff,0.2,low (-50%)
1,114.41,112.28,2.13,YES,hashimoto_eff,0.2,low (-50%)
2,115.3,113.17,2.13,YES,hashimoto_eff,0.2,low (-50%)
3,116.18,114.05,2.13,YES,hashimoto_eff,0.2,low (-50%)
5,117.47,115.83,1.65,YES,hashimoto_eff,0.2,low (-50%)
7,117.47,117.47,0.0,no,hashimoto_eff,0.2,low (-50%)
10,117.47,117.47,0.0,no,hashimoto_eff,0.2,low (-50%)
15,117.47,117.47,0.0,no,hashimoto_eff,0.2,low (-50%)
20,117.47,117.47,0.0,no,hashimoto_eff,0.2,low (-50%)
50,117.47,117.47,0.0,no,hashimoto_eff,0.2,low (-50%)
100,117.47,117.47,0.0,no,hashimoto_eff,0.2,low (-50%)
0,115.65,111.39,4.26,YES,hashimoto_eff,0.4,baseline
1,116.54,112.28,4.26,YES,hashimoto_eff,0.4,baseline
2,117.43,113.17,4.26,YES,hashimoto_eff,0.4,baseline
3,117.48,114.05,3.42,YES,hashimoto_eff,0.4,baseline
5,117.48,115.83,1.65,YES,hashimoto_eff,0.4,baseline
7,117.48,117.47,0.0,no,hashimoto_eff,0.4,baseline
10,117.48,117.47,0.0,no,hashimoto_eff,0.4,baseline
15,117.48,117.47,0.0,no,hashimoto_eff,0.4,baseline
20,117.48,117.47,0.0,no,hashimoto_eff,0.4,baseline
50,117.48,117.47,0.0,no,hashimoto_eff,0.4,baseline
100,117.48,117.47,0.0,no,hashimoto_eff,0.4,baseline
0,117.48,111.39,6.08,YES,hashimoto_eff,0.6,high (+50%)
1,117.48,112.28,5.2,YES,hashimoto_eff,0.6,high (+50%)
2,117.48,113.17,4.31,YES,hashimoto_eff,0.6,high (+50%)
3,117.48,114.05,3.42,YES,hashimoto_eff,0.6,high (+50%)
5,117.48,115.83,1.65,YES,hashimoto_eff,0.6,high (+50%)
7,117.48,117.47,0.01,no,hashimoto_eff,0.6,high (+50%)
10,117.48,117.47,0.01,no,hashimoto_eff,0.6,high (+50%)
15,117.48,117.47,0.01,no,hashimoto_eff,0.6,high (+50%)
20,117.48,117.47,0.01,no,hashimoto_eff,0.6,high (+50%)
50,117.48,117.47,0.01,no,hashimoto_eff,0.6,high (+50%)
100,117.48,117.47,0.01,no,hashimoto_eff,0.6,high (+50%)
0,115.65,111.39,4.26,YES,oh_scav_cap,5.0,low (-50%)
1,116.54,112.28,4.26,YES,oh_scav_cap,5.0,low (-50%)
2,117.43,113.17,4.26,YES,oh_scav_cap,5.0,low (-50%)
3,117.48,114.05,3.42,YES,oh_scav_cap,5.0,low (-50%)
5,117.48,115.83,1.65,YES,oh_scav_cap,5.0,low (-50%)
7,117.48,117.47,0.0,no,oh_scav_cap,5.0,low (-50%)
10,117.48,117.47,0.0,no,oh_scav_cap,5.0,low (-50%)
15,117.48,117.47,0.0,no,oh_scav_cap,5.0,low (-50%)
20,117.48,117.47,0.0,no,oh_scav_cap,5.0,low (-50%)
50,117.48,117.47,0.0,no,oh_scav_cap,5.0,low (-50%)
100,117.48,117.47,0.0,no,oh_scav_cap,5.0,low (-50%)
0,115.65,111.39,4.26,YES,oh_scav_cap,10.0,baseline
1,116.54,112.28,4.26,YES,oh_scav_cap,10.0,baseline
2,117.43,113.17,4.26,YES,oh_scav_cap,10.0,baseline
3,117.48,114.05,3.42,YES,oh_scav_cap,10.0,baseline
5,117.48,115.83,1.65,YES,oh_scav_cap,10.0,baseline
7,117.48,117.47,0.0,no,oh_scav_cap,10.0,baseline
10,117.48,117.47,0.0,no,oh_scav_cap,10.0,baseline
15,117.48,117.47,0.0,no,oh_scav_cap,10.0,baseline
20,117.48,117.47,0.0,no,oh_scav_cap,10.0,baseline
50,117.48,117.47,0.0,no,oh_scav_cap,10.0,baseline
100,117.48,117.47,0.0,no,oh_scav_cap,10.0,baseline
0,115.65,111.39,4.26,YES,oh_scav_cap,15.0,high (+50%)
1,116.54,112.28,4.26,YES,oh_scav_cap,15.0,high (+50%)
2,117.43,113.17,4.26,YES,oh_scav_cap,15.0,high (+50%)
3,117.48,114.05,3.42,YES,oh_scav_cap,15.0,high (+50%)
5,117.48,115.83,1.65,YES,oh_scav_cap,15.0,high (+50%)
7,117.48,117.47,0.0,no,oh_scav_cap,15.0,high (+50%)
10,117.48,117.47,0.0,no,oh_scav_cap,15.0,high (+50%)
15,117.48,117.47,0.0,no,oh_scav_cap,15.0,high (+50%)
20,117.48,117.47,0.0,no,oh_scav_cap,15.0,high (+50%)
50,117.48,117.47,0.0,no,oh_scav_cap,15.0,high (+50%)
100,117.48,117.47,0.0,no,oh_scav_cap,15.0,high (+50%)
