time_s,superoxide_M,h2o2_M,oh_radical_M,gsh_M,gssg_M,dna_damage
0.0,1e-09,1e-07,1.3357299891125477e-14,0.00475,0.00025,0.0
0.3003003003003003,8.089429943697589e-10,2.674666282088325e-07,1.335382778208492e-14,0.004777331202283612,0.0002326364477928292,5.0345209827868796e-08
0.6006006006006006,8.089429943697858e-10,2.6746207652041265e-07,1.3350401497023194e-14,0.004804221552374815,0.0002156027204185753,1.0053946309609959e-07
0.9009009009009009,8.089429943697857e-10,2.674573307511824e-07,1.3347035243713421e-14,0.00483065420315972,0.0001989040050245779,1.505832089699061e-07
1.2012012012012012,8.089429943697856e-10,2.674527277504019e-07,1.3343738851776324e-14,0.004856551209398514,0.0001825761335639458,2.004768987455191e-07
1.5015015015015014,8.089429943697857e-10,2.674482806145152e-07,1.3340523314180004e-14,0.00488182534152177,0.0001666596730682505,2.502209823659659e-07
1.8018018018018018,8.089429943697856e-10,2.6744400197837935e-07,1.3337400920882894e-14,0.004906379021647293,0.0001512004548962729,2.9981590842511295e-07
2.1021021021021022,8.089429943697858e-10,2.6743990587024863e-07,1.3334385378763644e-14,0.004930103367719612,0.00013625004998655586,3.492621241717258e-07
2.4024024024024024,8.089429943697857e-10,2.6743600820840747e-07,1.333149189363439e-14,0.00495287753782044,0.00012186609409750281,3.985600755135288e-07
2.7027027027027026,8.08942994369786e-10,2.674323262639592e-07,1.3328737174759144e-14,0.004974568688376669,0.00010811230623138973,4.477102070211673e-07
3.003003003003003,8.089429943697857e-10,2.6742887884061716e-07,1.3326139313853402e-14,0.00499503292752871,9.505800949172828e-05,4.967129619322457e-07
3.3033033033033035,8.08942994369786e-10,2.6742568578664847e-07,1.3323717458866692e-14,0.0050141178954134814,8.277683857191751e-05,5.455687821553343e-07
3.6036036036036037,8.089429943697856e-10,2.674227673315424e-07,1.3321491195374989e-14,0.005031667663016428,7.134428803666205e-05,5.942781082739493e-07
3.903903903903904,8.089429943697858e-10,2.674201429362701e-07,1.3319479547457632e-14,0.005047530648864541,6.083375175177859e-05,6.428413795505203e-07
4.2042042042042045,8.089429943697861e-10,2.6741782965599987e-07,1.3317699542340157e-14,0.00506157099599489,5.131083223559388e-05,6.912590339303548e-07
4.504504504504505,8.089429943697027e-10,2.674158400441703e-07,1.3316164386263196e-14,0.005073683034369459,4.282610735358283e-05,7.39531508045588e-07
4.804804804804805,8.089429943694354e-10,2.674141798344274e-07,1.3314881463329677e-14,0.005083807151916266,3.5407192763932564e-05,7.876592372191143e-07
5.105105105105105,8.089429944262373e-10,2.674128458573277e-07,1.3313850556417044e-14,0.005091943912397486,2.9051681006888675e-05,8.356426554685143e-07
5.405405405405405,8.089429948733152e-10,2.6741182481412035e-07,1.3313062822853837e-14,0.005098162199262368,2.372306766143181e-05,8.834821955099651e-07
5.7057057057057055,8.089429924568067e-10,2.6741109345549957e-07,1.3312500975577224e-14,0.005102597812882866,1.9351450867201885e-05,9.311782887621397e-07
6.006006006006006,8.089429725841907e-10,2.674106203459208e-07,1.331214079707955e-14,0.005105441509682915,1.5839509954593505e-05,9.787313653500957e-07
6.306306306306307,8.089430127531687e-10,2.6741036880813094e-07,1.3311953665413833e-14,0.005106919020417114,1.3072494553588965e-05,1.0261418541091518e-06
6.606606606606607,8.089429944137005e-10,2.6741030053491154e-07,1.3311909442103481e-14,0.005107268194620971,1.0929650668568272e-05,1.0734101825887547e-06
6.906906906906907,8.089429943693964e-10,2.6741037852321525e-07,1.3311979043174634e-14,0.005106718646140174,9.294396264018185e-06,1.1205367770563336e-06
7.207207207207207,8.089429943697861e-10,2.674105694526807e-07,1.3312136258146203e-14,0.00510547734662128,8.06152291821485e-06,1.1675220625011464e-06
7.5075075075075075,8.089429943697859e-10,2.674108448222801e-07,1.3312358707902752e-14,0.005103721032337093,7.140990856990694e-06,1.2143664626381128e-06
7.807807807807808,8.089429943697857e-10,2.6741118126076966e-07,1.331262807963718e-14,0.005101594332116598,6.4588634811656094e-06,1.261070399911637e-06
8.108108108108109,8.089429943697858e-10,2.6741156022504414e-07,1.3312929878786173e-14,0.0050992117184368085,5.9563303576233976e-06,1.3076342954994182e-06
8.408408408408409,8.08942994369803e-10,2.6741196737878686e-07,1.3313252928906622e-14,0.005096661454418576,5.587732301681206e-06,1.354058569316251e-06
8.70870870870871,8.089429943697836e-10,2.674123918633323e-07,1.3313588789384038e-14,0.005094010192446815,5.318260689274669e-06,1.400343640017811e-06
9.00900900900901,8.089429943697857e-10,2.674128255904653e-07,1.3313931193581518e-14,0.005091307412448909,5.121736980760037e-06,1.4464899250044353e-06
9.30930930930931,8.089429943697858e-10,2.674132626214035e-07,1.3314275557416259e-14,0.005088589304194285,4.978670273752524e-06,1.492497840424883e-06
9.60960960960961,8.089429943697859e-10,2.6741369865319746e-07,1.3314618574269633e-14,0.005085881967614276,4.874655884153727e-06,1.5383678011800914e-06
9.90990990990991,8.089429943697858e-10,2.674141306104683e-07,1.3314957893882951e-14,0.005083203949566036,4.799105742412743e-06,1.584100220926916e-06
10.21021021021021,8.089429943697856e-10,2.6741455632941243e-07,1.3315291874442152e-14,0.005080568202312926,4.744267967700021e-06,1.629695512081862e-06
10.51051051051051,8.089429943697857e-10,2.674149743177479e-07,1.3315619394670863e-14,0.005077983567867174,4.704483546018528e-06,1.6751540858248058e-06
10.81081081081081,8.089429943697856e-10,2.674153835747227e-07,1.3315939713240173e-14,0.005075455888486162,4.675629965531227e-06,1.7204763521026996e-06
11.11111111111111,8.089429943697856e-10,2.6741578345744173e-07,1.3316252364568584e-14,0.005072988829667486,4.654708635542708e-06,1.7656627196332703e-06
11.411411411411411,8.089429943697859e-10,2.674161735822528e-07,1.3316557082108267e-14,0.005070584486001084,4.639540909007773e-06,1.8107135959087047e-06
11.711711711711711,8.089429943697847e-10,2.674165537523382e-07,1.3316853742129972e-14,0.005068243825092109,4.628545100735324e-06,1.8556293871993262e-06
12.012012012012011,8.089429943698459e-10,2.674169239048009e-07,1.3317142322728798e-14,0.005065967011255282,4.620573650093263e-06,1.9004104985572562e-06
12.312312312312313,8.089429943696838e-10,2.6741728407202945e-07,1.3317422873957474e-14,0.00506375364132036,4.614794257389158e-06,1.945057333820067e-06
12.612612612612613,8.08942994367971e-10,2.674176343536272e-07,1.3317695496181076e-14,0.005061602915507193,4.610603513947652e-06,1.989570295614427e-06
12.912912912912914,8.089429943782964e-10,2.674179748960002e-07,1.3317960324372888e-14,0.005059513761382752,4.60756401871159e-06,2.033949785359727e-06
13.213213213213214,8.089429944115083e-10,2.674183058775604e-07,1.3318217516777148e-14,0.005057484923335541,4.605358762980817e-06,2.0781962032717033e-06
13.513513513513514,8.089429952704477e-10,2.674186274976697e-07,1.331846724673927e-14,0.005055515027040388,4.603758045959583e-06,2.122309948366046e-06
13.813813813813814,8.089430024328555e-10,2.6741893996697976e-07,1.3318709696808886e-14,0.005053602625979256,4.6025953873263365e-06,2.1662914184619962e-06
14.114114114114114,8.089431894524552e-10,2.6741924342210135e-07,1.3318945054545088e-14,0.00505174623452436,4.6017501833897766e-06,2.210141010185938e-06
14.414414414414415,8.089430421076586e-10,2.674195383394141e-07,1.3319173509505281e-14,0.00504994435167887,4.601135058040841e-06,2.2538591189749665e-06
14.714714714714715,8.089429951278649e-10,2.6741982473345096e-07,1.3319395251107894e-14,0.005048195477920016,4.600686685349701e-06,2.2974461390804643e-06
15.015015015015015,8.08942994432617e-10,2.674201028560642e-07,1.3319610467145057e-14,0.005046498126913848,4.600359199109634e-06,2.3409024635716507e-06
15.315315315315315,8.089429956017615e-10,2.674203729524478e-07,1.3319819342740078e-14,0.005044850833719877,4.600119379017909e-06,2.3842284843391257e-06
