time_s,superoxide_M,h2o2_M,oh_radical_M,gsh_M,gssg_M,dna_damage
142.04204204204206,8.089429943697857e-10,2.674293325930719e-07,1.3326676355267548e-14,0.004990801814233094,4.599177628231797e-06,1.2733434630961973e-05
142.34234234234233,8.089429943697857e-10,2.6742933259391194e-07,1.3326676355903989e-14,0.004990801809219057,4.599177628200073e-06,1.2745598659620465e-05
142.64264264264264,8.089429943697857e-10,2.6742933259472716e-07,1.3326676356521602e-14,0.0049908018043533465,4.599177628169287e-06,1.2757726214457393e-05
142.94294294294295,8.089429943697857e-10,2.674293325955183e-07,1.3326676357120944e-14,0.004990801799631585,4.599177628139412e-06,1.2769817404839222e-05
143.24324324324326,8.089429943697858e-10,2.6742933259628586e-07,1.3326676357702555e-14,0.004990801795049513,4.59917762811042e-06,1.278187233980482e-05
143.54354354354354,8.089429943697857e-10,2.674293325970308e-07,1.3326676358266961e-14,0.0049908017906029915,4.599177628082286e-06,1.2793891128066086e-05
143.84384384384384,8.089429943697856e-10,2.6742933259775376e-07,1.332667635881467e-14,0.0049908017862880134,4.599177628054986e-06,1.2805873878008786e-05
144.14414414414415,8.089429943697857e-10,2.6742933259845527e-07,1.3326676359346175e-14,0.004990801782100692,4.599177628028492e-06,1.2817820697693682e-05
144.44444444444446,8.089429943697857e-10,2.67429332599136e-07,1.3326676359861956e-14,0.004990801778037243,4.599177628002783e-06,1.282973169485772e-05
144.74474474474474,8.089429943697858e-10,2.6742933259979675e-07,1.3326676360362479e-14,0.004990801774094002,4.599177627977834e-06,1.2841606976914715e-05
145.04504504504504,8.089429943697857e-10,2.674293326004379e-07,1.3326676360848195e-14,0.004990801770267421,4.599177627953622e-06,1.2853446650956154e-05
145.34534534534535,8.089429943697858e-10,2.6742933260105994e-07,1.3326676361319539e-14,0.004990801766554045,4.599177627930127e-06,1.2865250823752765e-05
145.64564564564566,8.089429943697857e-10,2.6742933260166367e-07,1.3326676361776941e-14,0.0049908017629505174,4.599177627907327e-06,1.287701960175507e-05
145.94594594594594,8.089429943697856e-10,2.674293326022496e-07,1.3326676362220811e-14,0.0049908017594536,4.599177627885202e-06,1.2888753091094074e-05
146.24624624624624,8.089429943697857e-10,2.6742933260281807e-07,1.332667636265155e-14,0.004990801756060136,4.599177627863731e-06,1.2900451397582895e-05
146.54654654654655,8.089429943697857e-10,2.6742933260336975e-07,1.3326676363069547e-14,0.0049908017527670575,4.5991776278428946e-06,1.2912114626717334e-05
146.84684684684686,8.089429943697857e-10,2.674293326039052e-07,1.3326676363475177e-14,0.004990801749571402,4.599177627822675e-06,1.2923742883676715e-05
147.14714714714714,8.089429943697856e-10,2.6742933260442473e-07,1.3326676363868808e-14,0.004990801746470287,4.599177627803054e-06,1.2935336273324965e-05
147.44744744744744,8.089429943697857e-10,2.67429332604929e-07,1.3326676364250792e-14,0.004990801743460911,4.599177627784014e-06,1.2946894900211798e-05
147.74774774774775,8.089429943697856e-10,2.6742933260541814e-07,1.3326676364621477e-14,0.004990801740540563,4.599177627765537e-06,1.295841886857333e-05
148.04804804804806,8.089429943697855e-10,2.6742933260589296e-07,1.3326676364981196e-14,0.004990801737706612,4.599177627747605e-06,1.29699082823329e-05
148.34834834834834,8.089429943697856e-10,2.6742933260635374e-07,1.3326676365330274e-14,0.004990801734956499,4.5991776277302044e-06,1.2981363245102571e-05
148.64864864864865,8.089429943697857e-10,2.674293326068009e-07,1.3326676365669025e-14,0.00499080173228774,4.59917762771332e-06,1.2992783860183676e-05
148.94894894894895,8.089429943697858e-10,2.674293326072348e-07,1.3326676365997754e-14,0.004990801729697936,4.599177627696934e-06,1.3004170230567475e-05
149.24924924924926,8.089429943697858e-10,2.6742933260765584e-07,1.3326676366316757e-14,0.004990801727184749,4.599177627681032e-06,1.301552245893676e-05
149.54954954954954,8.089429943697858e-10,2.6742933260806443e-07,1.3326676366626323e-14,0.004990801724745908,4.599177627665601e-06,1.3026840647666387e-05
149.84984984984985,8.089429943697858e-10,2.674293326084609e-07,1.3326676366926731e-14,0.004990801722379217,4.599177627650627e-06,1.3038124898824083e-05
150.15015015015015,8.089429943697856e-10,2.6742933260884566e-07,1.3326676367218253e-14,0.004990801720082542,4.599177627636096e-06,1.3049375314171543e-05
150.45045045045046,8.089429943697856e-10,2.674293326092191e-07,1.332667636750115e-14,0.0049908017178538116,4.599177627621994e-06,1.3060591995165505e-05
150.75075075075074,8.089429943697857e-10,2.6742933260958147e-07,1.3326676367775676e-14,0.004990801715691012,4.599177627608309e-06,1.307177504295841e-05
151.05105105105105,8.089429943697856e-10,2.6742933260993314e-07,1.3326676368042084e-14,0.004990801713592198,4.59917762759503e-06,1.308292455839917e-05
151.35135135135135,8.089429943697857e-10,2.6742933261027434e-07,1.3326676368300608e-14,0.004990801711555475,4.599177627582144e-06,1.3094040642034631e-05
151.65165165165166,8.089429943697857e-10,2.674293326106055e-07,1.3326676368551486e-14,0.004990801709579003,4.599177627569638e-06,1.3105123394110097e-05
151.95195195195194,8.089429943697857e-10,2.6742933261092677e-07,1.3326676368794941e-14,0.004990801707661003,4.599177627557502e-06,1.311617291456998e-05
152.25225225225225,8.089429943697856e-10,2.674293326112386e-07,1.3326676369031194e-14,0.004990801705799746,4.599177627545727e-06,1.3127189303059332e-05
152.55255255255256,8.089429943697856e-10,2.674293326115412e-07,1.3326676369260459e-14,0.004990801703993549,4.5991776275342984e-06,1.3138172658924406e-05
152.85285285285286,8.089429943697855e-10,2.674293326118348e-07,1.332667636948294e-14,0.004990801702240788,4.59917762752321e-06,1.3149123081213392e-05
153.15315315315314,8.089429943697855e-10,2.674293326121198e-07,1.332667636969884e-14,0.004990801700539878,4.5991776275124475e-06,1.31600406686775e-05
153.45345345345345,8.089429943697856e-10,2.6742933261239637e-07,1.332667636990835e-14,0.004990801698889288,4.5991776275020044e-06,1.3170925519772023e-05
153.75375375375376,8.089429943697856e-10,2.6742933261266477e-07,1.3326676370111667e-14,0.0049908016972875285,4.59917762749187e-06,1.3181777732656937e-05
154.05405405405406,8.089429943697857e-10,2.6742933261292524e-07,1.3326676370308966e-14,0.004990801695733154,4.599177627482034e-06,1.3192597405197687e-05
154.35435435435437,8.089429943697857e-10,2.674293326131779e-07,1.3326676370500429e-14,0.004990801694224764,4.599177627472492e-06,1.3203384634966583e-05
154.65465465465465,8.089429943697856e-10,2.674293326134231e-07,1.3326676370686227e-14,0.004990801692760997,4.59917762746323e-06,1.3214139519243305e-05
154.95495495495496,8.089429943697855e-10,2.6742933261366104e-07,1.332667637086653e-14,0.004990801691340534,4.599177627454242e-06,1.322486215501554e-05
155.25525525525526,8.089429943697855e-10,2.6742933261389196e-07,1.3326676371041497e-14,0.004990801689962094,4.599177627445521e-06,1.3235552638980504e-05
155.55555555555557,8.089429943697856e-10,2.6742933261411606e-07,1.3326676371211289e-14,0.004990801688624431,4.5991776274370565e-06,1.3246211067545411e-05
155.85585585585585,8.089429943697856e-10,2.674293326143336e-07,1.3326676371376058e-14,0.004990801687326342,4.599177627428845e-06,1.3256837536828243e-05
156.15615615615616,8.089429943697858e-10,2.674293326145447e-07,1.3326676371535952e-14,0.0049908016860666544,4.599177627420874e-06,1.326743214265881e-05
156.45645645645646,8.089429943697858e-10,2.674293326147495e-07,1.3326676371691116e-14,0.004990801684844234,4.599177627413139e-06,1.3277994980579735e-05
156.75675675675677,8.089429943697858e-10,2.674293326149482e-07,1.332667637184169e-14,0.004990801683657976,4.599177627405634e-06,1.3288526145847065e-05
